,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
424,"SAPPHIRE R9 290 WATER COOLING (OC 1140/2450, CUSTOM BIOS)",4 GB DDR5,805,XMR-STAK,WINDOWS 10 x64,200 W,"Dec, 2017.","['SAPPHIRE R9 290 WATER COOLING (OC 1140/2450, CUSTOM BIOS)']"
425,MSI RX 580 ARMOR OC 4GB (ELPIDA) FLASHED VBIOS,4 GB DDR5,803,XMR-STAK-AMD,ARCHLINUX x64,100 W,"Sep, 2017.",['MSI RX 580 ARMOR OC 4GB (ELPIDA) FLASHED VBIOS']
426,SAPPHIRE RX 480 4G NITRO+ OC,4 GB DDR3,802,SGMINER 5.5.5-GM-NICEHASH-8,WINDOWS 10 x64,87 W,"Aug, 2017.",['SAPPHIRE RX 480 4G NITRO+ OC']
427,GIGABYTE G1 GAMING R9 390X (STOCK C:1060 M:6000),8 GB DDR5,802,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Oct, 2017.",['GIGABYTE G1 GAMING R9 390X (STOCK C:1060 M:6000)']
428,CLUB 3D HD 6990 OC GC900 MC1500,4 GB DDR5,802,CLAYMORE 9.7,WINDOWS 10 x64,350 W,"Oct, 2017.",['CLUB 3D HD 6990 OC GC900 MC1500']
429,MSI RX 580 ARMOR 4GB 1200/2040,4 GB DDR5,802,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Nov, 2017.",['MSI RX 580 ARMOR 4GB 1200/2040']
430,SAPPHIRE R9 390,8 GB DDR5,800,CLAYMORE 9.5,WINDOWS 7 x64,N/A,"Sep, 2016.",['SAPPHIRE R9 390']
431,SAPPHIRE RADEON RX 480 NITRO OC,8 GB DDR5,800,CLAYMORE V9.7,WINDOWS 10 x64,N/A,"Feb, 2017.",['SAPPHIRE RADEON RX 480 NITRO OC']
432,MSI GAMING X 480 4G,4 GB DDR5,800,SGMINER 5.5.5 1316/1900 WITH CUSTOM BIOS,WINDOWS 10 x64,135 W,"Mar, 2017.",['MSI GAMING X 480 4G']
433,HD 7990,6 GB DDR3,800,CLAYMORE CRYPTONOTE GPU MINER V9.5 BETA,WINDOWS 7 x64,N/A,"Mar, 2017.",['HD 7990']
434,ASUS STRIX RX 470,4 GB DDR5,800,XMR STAK AMD 1333/2002 SAMSUNG UBER-MIX,WINDOWS 10 x64,76 W,"May, 2017.",['ASUS STRIX RX 470']
435,RX 480,8 GB DDR5,800,GATELESSGATE/SGMINER,WINDOWS 7 x64,120 W,"Aug, 2017.",['RX 480']
436,NVIDIA GTX 1080TI,11 GB DDR5,800,XMR STAK NVIDIA,WINDOWS 10 x64,125 W,"Sep, 2017.",['NVIDIA GTX 1080TI']
437,GTX 1050,2 GB DDR5,800,CCMINER,WINDOWS 7 x64,60 W,"Oct, 2017.",['GTX 1050']
438,GTX 1070,8 GB DDR5,800,CCMINER SP-MOD #3,WINDOWS 8.1 x64,N/A,"Nov, 2017.",['GTX 1070']
439,GIGABYTE AUROS 1080 TI,11 GB DDR5,800,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Nov, 2017.",['GIGABYTE AUROS 1080 TI']
440,MSI R9 390,8 GB DDR5,800,SGMINER-GM-XMR,ETHOS 1.2.0,150 W,"Nov, 2017.",['MSI R9 390']
441,MSI R9 290 GAMING 4G,4 GB DDR5,800,CLAYMORE/CRYPTONIGHT,WINDOWS 10 x64,250 W,"Nov, 2017.",['MSI R9 290 GAMING 4G']
442,GIGABYTE AORUS RX 570,4 GB DDR5,800,CLAYMORE 10.2,WINDOWS 10 x64,110 W,"Dec, 2017.",['GIGABYTE AORUS RX 570']
443,"1X STOCK R9 390X, @~1.152V",8 GB DDR5,800,MINERGATE/NICEHASH,WINDOWS 10 x64,185 W,"Dec, 2017.","['1X STOCK R9 390X, @~1.152V']"
444,RX580 4GB NITRO+,4 GB DDR5,800,XMR-STAK,WINDOWS 10 x64,90 W,"Dec, 2017.",['RX580 4GB NITRO+']
445,POWERCOLOR PCS+ R9 390X,8 GB DDR5,798,SGMINER-GM-XMR,ETHOS 1.2.0,N/A,"Jun, 2017.",['POWERCOLOR PCS+ R9 390X']
446,R9 390,8 GB DDR3,798,CLAYMORE&S GPU MINER 9.7,WINDOWS 10 x64,N/A,"Aug, 2017.",['R9 390']
447,GIGABYTE AORUS GTX 1080 TI (GV-N108TAORUS-11GD),11 GB DDR5,797,XMR-STAK-WIN64,WINDOWS 10 x64,110 W,"Dec, 2017.",['GIGABYTE AORUS GTX 1080 TI (GV-N108TAORUS-11GD)']
448,R9 FURY X,4 GB HBM MEMORY,795,XMR STAK AMD,WINDOWS 10 x64,N/A,"Sep, 2017.",['R9 FURY X']
449,SAPPHIRE RX 480 NITRO OC,4 GB DDR5,791,CLAYMORE 9.6,WINDOWS 10 x64,N/A,"Jan, 2017.",['SAPPHIRE RX 480 NITRO OC']
450,GIGABYTE RADEON R9 290 4G (1040/1250 MHZ),4 GB DDR5,789,CLAYMORE AMD GPU MINER 9.6 ,WINDOWS 10 x64,N/A,"Dec, 2016.",['GIGABYTE RADEON R9 290 4G (1040/1250 MHZ)']
451,MSI RX 580 ARMOR OC 4GB (HYNIX) FLASHED VBIOS (MEM/CORE=1300/2135),4 GB DDR3,786,SGMINER-GM-XMR 5.5.5-GM-A ETHOS 1.2.5,ETHOS 1.2.0,150 W,"Nov, 2017.",['MSI RX 580 ARMOR OC 4GB (HYNIX) FLASHED VBIOS (MEM/CORE=1300/2135)']
452,XFX RADEON RX 480 8GB BACKPLATE BLACK EDITION OC,8 GB DDR5,782,CLAYMORE 10.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['XFX RADEON RX 480 8GB BACKPLATE BLACK EDITION OC']
453,SAPPHIRE R9 290,4 GB DDR5,780,CLAYMORE 9.6 @CATALYST 16.X,WINDOWS 10 x64,N/A,"Dec, 2016.",['SAPPHIRE R9 290']
454,RADEON R9 NANO,4 GB HBM MEMORY,780,CLAYMORE 9.5,WINDOWS 10 x64,175 W,"Sep, 2017.",['RADEON R9 NANO']
455,RADEON R9 290X,4 GB DDR5,780,XMR-STAK-AMD,WINDOWS 10 x64,275 W,"Sep, 2017.",['RADEON R9 290X']
456,R9 390,8 GB DDR5,779,CLAYMORE CRYPTONOTE GPU MINER V9.7,WINDOWS 10 x64,N/A,"Jun, 2017.",['R9 390']
457,SAPPHIRE RX 470 4GB OC REFERENCE,4 GB DDR5,778,CLAYMORE CRYPTONIGHT MINER,WINDOWS 7 x64,110 W,"Oct, 2016.",['SAPPHIRE RX 470 4GB OC REFERENCE']
458,SAPPHIRE RX 570 NITRO+ 8GB (HYNIX) @1300CORE/2200MEM/-96MV/-20%PL (RX 580 8GB HYNIX STRAPS),8 GB DDR5,776,"XMR-STAK-AMD (1024 intensity, 8 worksize)",WINDOWS 10 x64,85 W,"Sep, 2017.",['SAPPHIRE RX 570 NITRO+ 8GB (HYNIX) @1300CORE/2200MEM/-96MV/-20%PL (RX 580 8GB HYNIX STRAPS)']
459,R9 390,8 GB DDR5,775,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Sep, 2017.",['R9 390']
460,GEFORCE GTX 1080TI FE,11 GB DDR5,775,XMR-STAK-NVIDIA-1.1.1-1.4.0,UBUNTU 16.04 x64,N/A,"Nov, 2017.",['GEFORCE GTX 1080TI FE']
461,RX570 4GB ELPIDA MODDED BIOS OC,4 GB DDR5,775,CASTXMR,WINDOWS 8.1 x64,N/A,"Dec, 2017.",['RX570 4GB ELPIDA MODDED BIOS OC']
462,XFX RX 470,4 GB DDR3,772,CLAYMORE CRYPTONOTE 9.6. OC1325 MOD BIOS,WINDOWS 7 x64,60 W,"Jan, 2017.",['XFX RX 470']
463,XFX RX 470,4 GB DDR3,772,MINERGATE,WINDOWS 7 x64,120 W,"Jan, 2017.",['XFX RX 470']
464,R9 290,4 GB DDR5,772,CLAYMORE'S CRYPTONOTE AMD GPU MINER V11.1 (-H 768),WINDOWS 10 x64,N/A,"Jan, 2018.",['R9 290']
465,XFX REFERENCE RX 480,8 GB DDR5,770,CLAYMORE CRYPTONIGHT,WINDOWS 10 x64,135 W,"Sep, 2016.",['XFX REFERENCE RX 480']
466,GTX 1080 TI FE,11 GB DDR5,770,NVIDIA XMR STAK,WINDOWS 10 x64,N/A,"May, 2017.",['GTX 1080 TI FE']
467,NVIDIA GEFORCE GT 520,1 GB DDR3,770,MINERGATE,WINDOWS 7 x64,N/A,"Sep, 2017.",['NVIDIA GEFORCE GT 520']
468,GTX 1080 TI,11 GB DDR5,770,CCMINER,WINDOWS 7 x64,250 W,"Dec, 2017.",['GTX 1080 TI']
469,ASUS RX 470 4G MINING (BIOS MOD),4 GB DDR5,770,CLAYMORE'S CRYPTONOTE AMD GPU MINER V10.2 BETA,WINDOWS 7 x64,90 W,"Dec, 2017.",['ASUS RX 470 4G MINING (BIOS MOD)']
470,RX 580 PULSE 4GB E387 ELPIDA,4 GB DDR5,770,"XMRIG-AMD 2.4.3 (INTENSITY 512, WORKSIZE 8, THREADS 2)",WINDOWS 10 x64,85 W,"Dec, 2017.",['RX 580 PULSE 4GB E387 ELPIDA']
471,MSI GTX 1080TI,11 GB DDR5,770,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI GTX 1080TI']
472,NVIDIA GTX 1070,8 GB DDR5,768,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Aug, 2017.",['NVIDIA GTX 1070']
473,ASUS RX 480 DUAL 8G,8 GB DDR5,768,NICEHASH LEGACY 1.8.1.4 (1150 CLOCK / 2200 MEMORY),WINDOWS 10 x64,N/A,"Oct, 2017.",['ASUS RX 480 DUAL 8G']
474,R9 290 VAPOR-X,4 GB DDR5,765,CLAYMORE CRYPTONOTE GPU MINER 9.7,WINDOWS 10 x64,209 W,"Aug, 2017.",['R9 290 VAPOR-X']
475,R9 390,8 GB DDR5,765,XMR-STAK-AMD,ARCHLINUX x64,N/A,"Sep, 2017.",['R9 390']
476,POWERCOLOR RX 470 4 GB V2 (OC GPU 1400/VRAM 2000),4 GB DDR5,765,XMRIG AMD V2.4.3-BETA2,WINDOWS 10 x64,98 W,"Dec, 2017.",['POWERCOLOR RX 470 4 GB V2 (OC GPU 1400/VRAM 2000)']
477,XFX RADEON HD 6990,4 GB DDR5,763,CLAYMORE 9.7,WINDOWS 8.1 x64,350 W,"Jul, 2017.",['XFX RADEON HD 6990']
478,GIGABYTE GEFORCE GTX 1070,8 GB DDR5,761,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Sep, 2017.",['GIGABYTE GEFORCE GTX 1070']
479,RX 480 4G,4 GB DDR5,760,WOLF GPUMINER (FLASHED W CUSTOM BIO),WINDOWS 10 x64,N/A,"Sep, 2016.",['RX 480 4G']
480,RX480 - MSI GAMING X 4GB,4 GB DDR5,760,CRYPTONIGHT 9.7 -A 4 -H 1024,WINDOWS 10 x64,N/A,"Mar, 2017.",['RX480 - MSI GAMING X 4GB']
481,GTX 1070,8 GB DDR5,760,MINERGATE,WINDOWS 10 x64,180 W,"Sep, 2017.",['GTX 1070']
482,GTX 1070,8 GB DDR5,760,MINERGATE,WINDOWS 10 x64,180 W,"Sep, 2017.",['GTX 1070']
483,ASUS RX 580,8 GB DDR5,760,XMR-STAK-AMD,WINDOWS 10 x64,125 W,"Oct, 2017.",['ASUS RX 580']
484,MSI RX 480 GAMING X 8G (2150MHZ RAM | 72Â°C),8 GB DDR5,760,AMD XMR MINER V .65B - AMD ADRELANIN 17.12.1,WINDOWS 10 x64,80 W,"Dec, 2017.",['MSI RX 480 GAMING X 8G (2150MHZ RAM | 72Â°C)']
485,SLI GTX 660 TI,2 GB DDR5,756,MINERGATE 7.0,WINDOWS 10 x64,N/A,"Oct, 2017.",['SLI GTX 660 TI']
486,STRIX RX 480,8 GB DDR5,756,"CLAYMORE 10.2,  GPU 1220MHZ, MEMORY 2150, 12.17 DRIVER",WINDOWS 10 x64,N/A,"Dec, 2017.",['STRIX RX 480']
487,AMD REFERENCE RX 480,8 GB DDR3,754,CLAYMORE 9.7 + MSI AFTERBURNER: GPU/MEM/PWR = 1360MHZ/2250MHZ/+50% @77,WINDOWS 7 x64,120 W,"Apr, 2017.",['AMD REFERENCE RX 480']
488,GTX 1070,8 GB DDR5,753,XMR-STAK-NVIDIA,WINDOWS 7 x64,N/A,"Aug, 2017.",['GTX 1070']
489,POWERCOLOR RX580 4GB,4 GB DDR3,751,CLAYMORE S,WINDOWS 10 x64,95 W,"Nov, 2017.",['POWERCOLOR RX580 4GB']
490,MSI RX480 GAMING X,4 GB DDR5,750,CLAYMORE CRYPTNOTE GPU MINER 9.6,WINDOWS 10 x64,120 W,"Dec, 2016.",['MSI RX480 GAMING X']
491,MSI GAMING X RX 480  4G,4 GB DDR5,750,SGMINER 5.5.5 1316/1835 WITH 1075MV. CUSTOM BIOS WITH 1500 STRAPS,WINDOWS 10 x64,N/A,"Mar, 2017.",['MSI GAMING X RX 480  4G']
492,RX 470,4 GB DDR5,750,MINERGATE,WINDOWS 10 x64,161 W,"Apr, 2017.",['RX 470']
493,VISIONTEK AMD R9 390,8 GB DDR5,750,XMR-STAK-AMD,UBUNTU 17.04 x64,N/A,"Sep, 2017.",['VISIONTEK AMD R9 390']
494,SAPPHIRE RX 470,4 GB DDR5,750,CLAYMORE 9.7,WINDOWS 10 x64,60 W,"Sep, 2017.",['SAPPHIRE RX 470']
495,GIGABYTE RADEON RX 570 GAMING 4GB,4 GB DDR5,750,CLAYMORE 9.7,WINDOWS 10 x64,80 W,"Sep, 2017.",['GIGABYTE RADEON RX 570 GAMING 4GB']
496,MSI RX 580 ARMOR -48/1200/2250,8 GB DDR5,750,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Sep, 2017.",['MSI RX 580 ARMOR -48/1200/2250']
497,GTX 980 TI,6 GB DDR5,750,XMRIG NVIDIA,WINDOWS 10 x64,160 W,"Nov, 2017.",['GTX 980 TI']
498,GTX 1070 WINDFORCE OC,8 GB DDR5,750,XMR-STAK-NVIDIA,WINDOWS XP x64,100 W,"Nov, 2017.",['GTX 1070 WINDFORCE OC']
499,XFX RX 580XXX,8 GB DDR5,750,XMR-STAK-AMD,WINDOWS 10 x64,85 W,"Dec, 2017.",['XFX RX 580XXX']
500,RX 580 NITRO+ 4GB ELPIDA,4 GB DDR5,750,CLAYMORE V10.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['RX 580 NITRO+ 4GB ELPIDA']
501,MSI R9 290 4G GAMING(STOCK 977 CORE CLOCK),4 GB DDR3,750,CLAYMORE 10.2 BETA,WINDOWS 10 x64,200 W,"Dec, 2017.",['MSI R9 290 4G GAMING(STOCK 977 CORE CLOCK)']
502,GIGABYTE GEFORCE GTX 1070 G1 GAMING,8 GB DDR5,750,"XMR-STAK // MAB SETTINGS - +100 MHZ CORE, +825 MHZ MEMORY",WINDOWS 10 x64,N/A,"Dec, 2017.",['GIGABYTE GEFORCE GTX 1070 G1 GAMING']
503,SHAPPHIRE R9 290 TRI-X,4 GB DDR3,750,"XMR - AEON - SUMO - STAK 2.0 (CLOCK: 1000 MEM:1400 DOUBLE THREADS , INTENSITY 512 WORKSIZE 8)",WINDOWS 10 x64,220 W,"Dec, 2017.",['SHAPPHIRE R9 290 TRI-X']
504,1080 TI,8 GB DDR5,750,MINERGATE 7.2,WINDOWS 7 x64,N/A,"Dec, 2017.",['1080 TI']
505,RX 470 NITRO,4 GB DDR5,747,WOLF GPU MINER  V0.4,WINDOWS 7 x64,N/A,"Sep, 2016.",['RX 470 NITRO']
506,MSI RX 580 ARMOR 8GB OC,8 GB DDR5,747,"XMR-STAK-AMD (1.1750=>2.1750+2.2000, Mem2100)",WINDOWS 10 x64,90 W,"Sep, 2017.",['MSI RX 580 ARMOR 8GB OC']
507,ASUS R9 290X DIRECTCU II OC,4 GB DDR5,746,CLAYMORE CRYPTONOTE GPU MINER V9.6 BETA,WINDOWS 10 x64,143 W,"Jan, 2017.",['ASUS R9 290X DIRECTCU II OC']
508,SAPPHIRE R9 290X,4 GB DDR5,745,CLAYMORE 9.5,WINDOWS 8 x64,N/A,"Sep, 2016.",['SAPPHIRE R9 290X']
509,XFX RX480 8GB,8 GB DDR5,745,XMR-STAK-AMD,UBUNTU 16.04 x64,120 W,"Jul, 2017.",['XFX RX480 8GB']
510,POWERCOLOR PCS+ R9 390,8 GB DDR5,744,SGMINER-GM-XMR,ETHOS 1.2.0,N/A,"Jun, 2017.",['POWERCOLOR PCS+ R9 390']
511,MSI GTX 1070 8GB,8 GB DDR5,743,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Sep, 2017.",['MSI GTX 1070 8GB']
512,NVIDIA GTX 1070,8 GB DDR5,742,XMR-STAK-NVIDIA,DEBIAN 9 x64,94 W,"Sep, 2017.",['NVIDIA GTX 1070']
513,GTX 1070,8 GB DDR5,740,CCMINER-CRYPTONIGHT,WINDOWS 10 x64,150 W,"Jan, 2017.",['GTX 1070']
514,XFX RX 480 REF,8 GB DDR5,740,CLAYMORE CRYPTONOTE 9.6,WINDOWS 10 x64,N/A,"Jan, 2017.",['XFX RX 480 REF']
515,RX470,4 GB DDR5,740,CLAYMORE V9.7,WINDOWS 7 x64,120 W,"Jan, 2017.",['RX470']
516,RX 580,4 GB DDR5,740,SGMINER 5.5.5,WINDOWS 10 x64,73 W,"Sep, 2017.",['RX 580']
517,RX 570,4 GB DDR5,740,SGMINER 5.5.5,WINDOWS 10 x64,100 W,"Sep, 2017.",['RX 570']
518,EVGA GEFORCE GTX 1080 TI,11 GB DDR5,740,XMRMINER,UBUNTU 17.10 x64,N/A,"Dec, 2017.",['EVGA GEFORCE GTX 1080 TI']
519,SAPPHIRE R9 290,4 GB DDR5,740,CLAYMORE 9.6,WINDOWS 10 x64,63 W,"Oct, 2017.",['SAPPHIRE R9 290']
520,GYGABYTE AMD RX 580,8 GB DDR5,740,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,200 W,"Dec, 2017.",['GYGABYTE AMD RX 580']
521,XFX RX 480 8GB,8 GB DDR5,736,OC - CLOCK AT 1500MHZ / MEM AT 2250MHZ CLAYMORE GPU MINER V9.6,WINDOWS 10 x64,115 W,"Jan, 2017.",['XFX RX 480 8GB']
522,POWERCOLOR RADEON RX 470,4 GB DDR5,736,XMR-STAK-AMD,UBUNTU 16.04 x64,64 W,"Aug, 2017.",['POWERCOLOR RADEON RX 470']
523,SAPPHIRE NITRO+ RX 580,8 GB DDR5,736,CAST-XMR 0.8.0,WINDOWS 10 x64,70 W,"Dec, 2017.",['SAPPHIRE NITRO+ RX 580']
524,AMD R9 NANO,4 GB HBM MEMORY,732,CLAYMORE 9.5,WINDOWS 7 x64,175 W,"Sep, 2016.",['AMD R9 NANO']
525,SAPPHIRE RX 580 8GB NITRO+ (MODDED BIOS 1150/2150),8 GB DDR5,730,XMR-STAK-AMD,WINDOWS 10 x64,80 W,"Jul, 2017.",['SAPPHIRE RX 580 8GB NITRO+ (MODDED BIOS 1150/2150)']
526,SAPPHIRE R9 290 WATERCOOLED AT 1100MHZ,4 GB DDR5,730,CLAYMORE 9.6,WINDOWS 10 x64,N/A,"Sep, 2017.",['SAPPHIRE R9 290 WATERCOOLED AT 1100MHZ']
527,RX 470,4 GB DDR5,730,SGMINER 5.5.5,WINDOWS 10 x64,85 W,"Sep, 2017.",['RX 470']
528,ASUS 1070 GTX 8GB OC MICRON,8 GB DDR5,729,XMR-STAK,WINDOWS 7 x64,N/A,"Dec, 2017.",['ASUS 1070 GTX 8GB OC MICRON']
529,MSI RX 480 8G,8 GB DDR5,727,CLAYMORE CRYPTONIGHT 9.7,WINDOWS 10 x64,N/A,"Sep, 2017.",['MSI RX 480 8G']
530,XFX R9 290X,4 GB DDR5,726,XMR-STAK-AMD,WINDOWS 10 x64,140 W,"Nov, 2017.",['XFX R9 290X']
531,RX 470 4GB,4 GB DDR5,725,CLAYMORES CRYPTONOTE 9.7,WINDOWS 10 x64,60 W,"Feb, 2017.",['RX 470 4GB']
532,SUPPHIRE RADEON RX 570 NITRO+ 8GB,8 GB DDR5,725,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Dec, 2017.",['SUPPHIRE RADEON RX 570 NITRO+ 8GB']
533,R9 290X,8 GB DDR5,724,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Jun, 2017.",['R9 290X']
534,NVIDIA GTX 690,4 GB DDR5,724,XMR-STAK,UBUNTU 16.04 x64,N/A,"Nov, 2017.",['NVIDIA GTX 690']
535,RX 580 NITRO+ (W/ POLARIS ONECLICKTIMING PATCH),8 GB DDR5,723,XMR-STAK,UBUNTU 16.04 x64,N/A,"Dec, 2017.",['RX 580 NITRO+ (W/ POLARIS ONECLICKTIMING PATCH)']
536,RX 480 SAPPHIRE NITRO+ OC,4 GB DDR5,720,SGMINER-GM FLASHED BIOS,UBUNTU 16.04 x64,N/A,"Feb, 2017.",['RX 480 SAPPHIRE NITRO+ OC']
537,GEFORCE GTX 1070 OC GIGABYTE,8 GB DDR5,720,MINERGATE V.6.9,WINDOWS 10 x64,N/A,"Sep, 2017.",['GEFORCE GTX 1070 OC GIGABYTE']
538,NVIDIA GTX 1070,8 GB DDR5,720,CCMINER cryptonight,WINDOWS 10 x64,85 W,"Sep, 2017.",['NVIDIA GTX 1070']
539,MSI RX 480 ARMOR REFURB,4 GB DDR5,720,CLAYMORE 9.7 (HYNIX MEMORY BIOS TWEAK),WINDOWS 10 x64,70 W,"Nov, 2017.",['MSI RX 480 ARMOR REFURB']
540,SAPPHIRE NITRO+ RX 580,8 GB DDR5,714,CLAYMORE 9.7 Bios Mod Hynix 1:1750 to 2:200 and 2:2250,WINDOWS 10 x64,N/A,"Sep, 2017.",['SAPPHIRE NITRO+ RX 580']
541,XFX RX-480,8 GB DDR5,714,CLAYMORE MINER V9.7,WINDOWS 10 x64,N/A,"Sep, 2017.",['XFX RX-480']
542,RX 480 8GB (SAMSUNG) BIOS MOD UNDERVOLT 1306/2000,4 GB DDR5,714,CLAYMORE CRYPTONOTE GPU MINER 9.7 BETA,WINDOWS 10 x64,120 W,"Nov, 2017.",['RX 480 8GB (SAMSUNG) BIOS MOD UNDERVOLT 1306/2000']
543,SAPPHIRE NITRO+ RX 480,8 GB DDR5,714,CLAYMORE CRYPTONOTE GPU MINER 9.7 BETA 1306/2000 BIOS MODE(UNDERVOLT),WINDOWS 10 x64,N/A,"Nov, 2017.",['SAPPHIRE NITRO+ RX 480']
544,6X GIGABYTE RX 570 4GB,4 GB DDR5,713,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,70 W,"Sep, 2017.",['6X GIGABYTE RX 570 4GB']
545,SAPPHIRE NITRO+ RX480 4GB,4 GB DDR5,710,CLAYMORE 9.5,WINDOWS 10 x64,N/A,"Sep, 2016.",['SAPPHIRE NITRO+ RX480 4GB']
546,RX480 8GB,8 GB DDR5,710,CLAYMORE 9.5 @ 1306/2200,WINDOWS 10 x64,225 W,"Sep, 2016.",['RX480 8GB']
547,SAPPHIRE NITRO+ RX 480,4 GB DDR5,710,WOLF GPUMINER,WINDOWS 10 x64,90 W,"Apr, 2017.",['SAPPHIRE NITRO+ RX 480']
548,ASUS DUAL RX 580 O8G,8 GB DDR5,710,CLAYMORE CRYPTONYGHT GPU V9.7,WINDOWS 10 x64,70 W,"Jul, 2017.",['ASUS DUAL RX 580 O8G']
549,RADEON RX 580: GPU 1415 MEM 2100,8 GB DDR3,710,CLAYMORE/NS GPU CN MINER,WINDOWS 10 x64,172 W,"Oct, 2017.",['RADEON RX 580: GPU 1415 MEM 2100']
550,XFX RX 470,4 GB DDR5,706,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Aug, 2017.",['XFX RX 470']
551,"GTX 1070 (STOCK CORE , +650 MEM, 70% POWER)",8 GB DDR5,705,XMR-STAK-NVIDIA,WINDOWS 10 x64,122 W,"Jul, 2017.","['GTX 1070 (STOCK CORE , +650 MEM, 70% POWER)']"
552,SAPPHIRE RADEON RX 470 (11256-36-10G),4 GB DDR5,705,CLAYMORE V10.2,WINDOWS SERVER 2016,N/A,"Dec, 2017.",['SAPPHIRE RADEON RX 470 (11256-36-10G)']
553,STRIX RX 480,8 GB DDR5,705,"CLAYMORE 9.7, 1220MHZ GPU, 8500MHZ MEMORY, -H 1728",WINDOWS 10 x64,N/A,"Dec, 2017.",['STRIX RX 480']
554,SAPPHIRE NITRO RX470 OC,8 GB DDR5,704,CLAYMORE CRYPTONOTE V9.6,WINDOWS 10 x64,N/A,"Dec, 2016.",['SAPPHIRE NITRO RX470 OC']
555,"NVIDIA 1070 FOUNDERS (+650 MEM, 75% POWER, 60% FAN, 170W AT THE WALL)",8 GB DDR5,704,XMR-STAK-NVIDIA,WINDOWS 10 x64,170 W,"Aug, 2017.","['NVIDIA 1070 FOUNDERS (+650 MEM, 75% POWER, 60% FAN, 170W AT THE WALL)']"
556,RX 470,4 GB DDR5,703,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Aug, 2017.",['RX 470']
557,EVGA 980TI HYDRO COPPER,6 GB DDR5,702,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Sep, 2017.",['EVGA 980TI HYDRO COPPER']
558,SAPPHIRE RX 470 NITRO+,4 GB DDR5,702,GATELESS GATE V0.1.3-PRE6,WINDOWS 10 x64,85 W,"Nov, 2017.",['SAPPHIRE RX 470 NITRO+']
559,1X AMD RX 580 8GB,8 GB DDR5,702,CLAYMORE 10.2,WINDOWS 10 x64,N/A,"Nov, 2017.",['1X AMD RX 580 8GB']
560,NVIDIA GTX 1070,8 GB DDR5,700,CCMINER,WINDOWS 10 x64,150 W,"Sep, 2016.",['NVIDIA GTX 1070']
561,AMD R9 290,4 GB DDR5,700,"WOLF9466/WOLF-XMR-MINER (COREFREQ 1000, MEMFREQ 1300, THREADS 1, RAWIN",DEBIAN 8 x64,250 W,"Jan, 2017.",['AMD R9 290']
562,NVIDIA GTX 1070,8 GB DDR5,700,CCMINER,WINDOWS 10 x64,150 W,"Sep, 2016.",['NVIDIA GTX 1070']
563,SAPPHIRE PULSE RX 570 4GB 1100/2050 -96MV,4 GB DDR5,700,CLAYMORE 9.7,WINDOWS 7 x64,90 W,"May, 2017.",['SAPPHIRE PULSE RX 570 4GB 1100/2050 -96MV']
564,RX 570,8 GB DDR5,700,CLAYMORE 9.7,WINDOWS 10 x64,100 W,"Sep, 2017.",['RX 570']
565,EVGA GEFORCE 1070 REFERENCE,8 GB DDR5,700,MINERGATE,WINDOWS 10 x64,N/A,"Sep, 2017.",['EVGA GEFORCE 1070 REFERENCE']
566,R9 290X GIGABYTE GV-R929XD5-4GD-B,4 GB DDR5,700,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA - POOL,WINDOWS 7 x64,N/A,"Sep, 2017.",['R9 290X GIGABYTE GV-R929XD5-4GD-B']
567,SAPPHIRE PULSE RX 580 (HYNIX),4 GB DDR5,700,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['SAPPHIRE PULSE RX 580 (HYNIX)']
568,RX 580,8 GB DDR5,700,CLAYMORE 10.2,WINDOWS 10 x64,203 W,"Nov, 2017.",['RX 580']
569,GTX 1070 TI,8 GB DDR5,700,XMR STAK,WINDOWS 10 x64,90 W,"Nov, 2017.",['GTX 1070 TI']
570,ASUS RX 570 STRIXX 4GB,4 GB DDR5,700,CLAYMORE 10.2,WINDOWS 10 x64,170 W,"Nov, 2017.",['ASUS RX 570 STRIXX 4GB']
